ATD,type_name,residue_names,atomic_number,num_neighbors,num_H_bonds,electron_withdrawal_groups,atomic_property,CES
ATD,cx,*,6,4,-1,-1,[RG3],*
ATD,cy,*,6,4,-1,-1,[RG4],*
ATD,c3,*,6,4,-1,-1,*,*
ATD,c,*,6,3,-1,-1,[2DL],(XA1)
ATD,c,*,6,3,-1,-1,"[1DB,0DL]",(XA1)
ATD,c,*,6,3,-1,-1,[3sb],(XA1)
ATD,cz,*,6,3,-1,-1,*,"(N3,N3,N3)"
ATD,cp,*,6,3,-1,-1,"[AR1,1RG6]","(XX[AR1],XX[AR1],XX[AR1])"
ATD,ca,*,6,3,-1,-1,[AR1],*
ATD,cc,*,6,3,-1,-1,"[sb,db,AR2]",(C3(C3))
ATD,cc,*,6,3,-1,-1,"[sb,db,AR2]",(C3(C2))
ATD,cc,*,6,3,-1,-1,"[sb,db,AR2]",(C3(XB2))
ATD,cc,*,6,3,-1,-1,"[sb,db,AR2]",(XB2(XB2))
ATD,cc,*,6,3,-1,-1,"[sb,db,AR2]",(XB2(C2))
ATD,cc,*,6,3,-1,-1,"[sb,db,AR2]",(XB2(C3))
ATD,cc,*,6,3,-1,-1,"[sb,db,AR2]",(C3[sb'])
ATD,cc,*,6,3,-1,-1,"[sb,db,AR2]",(XB2[sb'])
ATD,cc,*,6,3,-1,-1,"[sb,db,AR2]","(XD3[sb',db])"
ATD,cc,*,6,3,-1,-1,"[sb,db,AR2]","(XD4[sb',db])"
ATD,cc,*,6,3,-1,-1,"[sb,db,AR3]",(C3(C3))
ATD,cc,*,6,3,-1,-1,"[sb,db,AR3]",(C3(C2))
ATD,cc,*,6,3,-1,-1,"[sb,db,AR3]",(C3(XB2))
ATD,cc,*,6,3,-1,-1,"[sb,db,AR3]",(XB2(XB2))
ATD,cc,*,6,3,-1,-1,"[sb,db,AR3]",(XB2(C2))
ATD,cc,*,6,3,-1,-1,"[sb,db,AR3]",(XB2(C3))
ATD,cc,*,6,3,-1,-1,"[sb,db,AR3]",(C3[sb'])
ATD,cc,*,6,3,-1,-1,"[sb,db,AR3]",(XB2[sb'])
