ATD,type_name,residue_names,atomic_number,num_neighbors,num_H_bonds,electron_withdrawal_groups,atomic_property,CES
ATD,CT,*,6,4,-1,-1,*,*
ATD,C,*,6,3,-1,-1,*,(XA1)
ATD,CN,*,6,3,-1,-1,"[RG5,RG6,AR1.AR2.AR3]","(C3,C3,N3(H))"
ATD,CB,*,6,3,-1,-1,"[RG5,RG6,AR1.AR2.AR3]",*
ATD,CR,*,6,3,-1,-1,"[RG5,AR1.AR2.AR3]","(N3,N3)"
ATD,CR,*,6,3,-1,-1,"[RG5,AR1.AR2.AR3]","(N2,N3(H))"
ATD,CK,*,6,3,-1,-1,"[RG5,AR1.AR2.AR3]","(N2,N3)"
ATD,CC,*,6,3,0,-1,"[RG5,AR1.AR2.AR3]","(C3,N3(C3,H))"
ATD,CC,*,6,3,0,-1,"[RG5,AR1.AR2.AR3]","(C3,N2(C3))"
ATD,CW,*,6,3,-1,-1,"[RG5,AR1.AR2.AR3]","(C3,N3(H))"
ATD,CV,*,6,3,-1,-1,"[RG5,AR1.AR2.AR3]","(C3,N2)"
ATD,C*,*,6,3,-1,-1,"[RG5,AR1.AR2.AR3]","(C3,C3)"
ATD,CQ,*,6,3,-1,-1,"[RG6,AR1.AR2.AR3]","(N2,N2)"
ATD,CM,*,6,3,-1,-1,"[RG6,AR1.AR2.AR3]","(C3,C3(N2(C3(N3(C3)))))"
ATD,CM,*,6,3,-1,-1,"[RG6,AR1.AR2.AR3]","(C3,C3(N3(C3(N3(C3)))))"
ATD,CM,*,6,3,-1,-1,"[RG6,AR1.AR2.AR3]","(C3,N3(C3(N2(C3(C3)))))"
ATD,CM,*,6,3,-1,-1,"[RG6,AR1.AR2.AR3]","(N3,C3(C3(N3(C3(N3)))))"
ATD,CA,*,6,3,-1,-1,[AR1.AR2.AR3],*
ATD,CD,*,6,3,-1,-1,*,"(C3,C3)"
ATD,CM,*,6,3,-1,-1,*,*
ATD,CZ,*,6,2,-1,-1,*,*
ATD,H,*,1,1,-1,-1,*,(N)
ATD,HO,*,1,1,-1,-1,*,(O)
ATD,HS,*,1,1,-1,-1,*,(S)
ATD,HP,*,1,1,-1,-1,*,(C(N4))
ATD,HW,*,1,1,-1,-1,*,(O(H1))
ATD,H3,*,1,1,-1,3,*,(C4)
ATD,H2,*,1,1,-1,2,*,(C4)
ATD,H1,*,1,1,-1,1,*,(C4)
ATD,HC,*,1,1,-1,-1,*,(C4)
ATD,H5,*,1,1,-1,2,*,(XX[AR1.AR2.AR3])
ATD,H4,*,1,1,-1,1,*,(XX[AR1.AR2.AR3])
ATD,HA,*,1,1,-1,-1,*,(XX[AR1.AR2.AR3])
ATD,HA,*,1,1,-1,-1,*,*
ATD,F,*,9,1,-1,-1,*,*
ATD,Cl,*,17,1,-1,-1,*,*
ATD,Br,*,35,1,-1,-1,*,*
ATD,F,*,53,1,-1,-1,*,*
ATD,P,*,15,-1,-1,-1,*,*
ATD,N1,*,7,1,-1,-1,*,*
ATD,NB,*,7,2,-1,-1,"[RG5,AR1.AR2.AR3]",*
ATD,NC,*,7,2,-1,-1,"[RG6,AR1.AR2.AR3]",*
ATD,N2,*,7,-1,-1,-1,*,"(C3(N3,N3))"
ATD,N2,*,7,-1,-1,-1,*,"(C3(N3,N3))"
ATD,NO,*,7,3,-1,-1,*,"(O1,O1)"
ATD,NA,*,7,3,1,-1,"[RG5.RG6,AR1.AR2.AR3]",*
ATD,N2,*,7,3,-1,-1,[NR],(XX[AR1.AR2.AR3])
ATD,N*,*,7,3,-1,-1,[AR1.AR2.AR3],*
ATD,N,*,7,3,-1,-1,*,(C3(XA1))
ATD,NT,*,7,3,-1,-1,*,*
ATD,N3,*,7,4,-1,-1,*,*
ATD,O2,*,8,1,-1,-1,*,(C(O1))
ATD,O2,*,8,1,-1,-1,*,(P)
ATD,O,*,8,1,-1,-1,*,(C)
ATD,O,*,8,1,-1,-1,*,(S)
ATD,OH,*,8,2,1,-1,*,*
ATD,OW,*,8,2,2,-1,*,*
ATD,OS,*,8,2,-1,-1,*,*
ATD,SH,*,16,2,1,-1,*,*
ATD,SH,*,16,2,2,-1,*,*
ATD,S,*,16,2,-1,-1,*,*
ATD,SO,*,16,4,-1,-1,*,*
ATD,LP,*,0,-1,-1,-1,*,*
ATD,DU,*,-1,-1,-1,-1,*,*
